name,Taxon,Reference,KnownDistribution,KnownHostRange,HybridStatus,SexualReproduction,VerticalTransmission,ReferenceSequences(tubB),,,Asia,Africa,Europe,North America,South America,Oceania
amarillans,Epichloë amarillans                                J.F. White,Mycologia 86: 573. 1994,North America,"Agrostis hyemalis, Agrostis perennans, Calamagrostis canadensis, Elymus virginicus, Sphenopholis nitida, Sphenopholis obtusata, Sphenopholis × pallens, Ammophila breviligulata",non-hybrid,observed,present,"L06958, L06959, AF457478",,,absent,absent,absent,present,absent,absent
baconii,Epichloë baconii                                   J.F. White,Mycologia 85: 449. 1993,Europe,"Agrostis capillaris, Agrostis stolonifera, Calamagrostis villosa, Calamagrostis varia, Calamagrostis purpurea",non-hybrid,observed,absent,"L06961, L78270, L78279",,,absent,absent,present,absent,absent,absent
brachyelytri,Epichloë brachyelytri                      Schardl & Leuchtm.,Mycologia 91: 104. 1999,North America,Brachyelytrum erectum,non-hybrid,observed,present,"L78271, AF062427",,,absent,absent,absent,present,absent,absent
bromicola,Epichloë bromicola                      Leuchtm. & Schardl,Mycological Research 102: 1179. 1998,"Europe, Asia","Bromus benekenii, Bromus erectus, Bromus ramosus, Elymus repens, Hordelymus europaeus, Hordeum brevisubulatum",non-hybrid,observed,present,"L78289, L78290, AY033369, AY033371, AY137612, AF457488, ",,,absent,absent,present,absent,absent,absent
elymi,Epichloë elymi                               Schardl & Leuchtm.,Mycologia 91: 101. 1999,North America,"Bromus kalmii, Elymus spp. (including Hystrix patula)",non-hybrid,observed,present,"AF250743, AF45747; L06962, L78273",,,absent,absent,absent,present,absent,absent
festucae,"Epichloë festucae                                Leuchtm., Schardl & M.R. Siegel",Mycologia 86: 809. 1994,"Europe, Asia, North America","Festuca spp., Koeleria spp., Schedonorus spp.",non-hybrid,observed,present,"L06955, L78286, AF250747",,,present,absent,present,present,absent,absent
mollis,Epichloë mollis                              (Morgan-Jones & W. Gams) Leuchtm. & Schardl,Mycotaxon 15: 315. 1982 ,Europe,Holcus mollis,non-hybrid,observed,present,AF457469,,,absent,absent,present,absent,absent,absent
sylvatica,Epichloë sylvatica                                Leuchtm. & Schardl,Mycological Research 102: 1178. 1998,"Europe, Asia","Brachypodium sylvaticum, Hordelymus europaeus",non-hybrid,observed,present,"L78278, L78291, KC936106, KC936107, KC936108, KC936109, JF718479",,,present,absent,present,absent,absent,absent
E8Q16,Epichloë typhina                             (Pers.) Tul. & C. Tul. ,Selecta Fungorum Carpologia 3: 24. 1865,Europe,"Anthoxanthum odoratum, Brachypodium phoenicoides, Brachypodium pinnatum, Dactylis glomerata, Lolium perenne, Milium effusum, Phleum pratense, Poa trivialis, Poa silvicola, Puccinellia distans",non-hybrid,observed,present,"L78277, L78288, X52616, AF250753, KC936103-KC936105, KC936110-KC936112, KC936116,         KC936118-KC936124, KC936127-KC936142, EU375739, EU375740, AM490796",,,absent,absent,present,present,absent,absent
Ety8,Epichloë typhina                             (Pers.) Tul. & C. Tul. ,Selecta Fungorum Carpologia 3: 24. 1865,Europe,"Anthoxanthum odoratum, Brachypodium phoenicoides, Brachypodium pinnatum, Dactylis glomerata, Lolium perenne, Milium effusum, Phleum pratense, Poa trivialis, Poa silvicola, Puccinellia distans",non-hybrid,observed,present,"L78277, L78288, X52616, AF250753, KC936103-KC936105, KC936110-KC936112, KC936116,         KC936118-KC936124, KC936127-KC936142, EU375739, EU375740, AM490796",,,absent,absent,present,present,absent,absent
clarkii,Epichloë typhina subsp. clarkii      (J.F. White) Leuchtm. & Schardl,Mycologia 85: 449. 1993,Europe,Holcus lanatus,non-hybrid,observed,absent,L78281,,,absent,absent,present,absent,absent,absent
poae,"Epichloë typhina subsp. poae   (Tadych, K.V. Ambrose, F.C. Belanger & J.F. White) Tadych",Fungal Diversity 54: 122. 2012,"Europe, North America","Poa nemoralis, Poa pratensis",non-hybrid,observed,present,"L78284, AF250757, AY163832, ",,,absent,absent,present,present,absent,absent
aoteoroae,"Epichloë aotearoae                                (C.D. Moon, C.O. Miles & Schardl) Leuchtm. & Schardl",Mycologia 94: 703. 2002 ,"New Zealand, Australia",Echinopogon ovatus,non-hybrid,not observed,present,"AF323371, GQ422364",,,absent,absent,absent,absent,absent,present
gansuensis,Epichloë gansuensis                              (C.J. Li & Nan) Schardl,Mycotaxon 90: 142. 200. ,Asia,"Achnatherum inebrians, Achnatherum sibiricum, Achnatherum pekinense",non-hybrid,not observed,present,"EF422756, EF422757, KC936101",,,present,absent,absent,absent,absent,absent
